"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.58021,1,0,0,50,0
0.58026,1,0.1,0.1,50,0
0.58031,1,0.2,0.2,50,0
0.58036,1,0.3,0.3,50,0
0.58042,1,0.4,0.4,50,0
0.58047,1,0.5,0.5,50,0
0.58052,1,0.6,0.6,50,0
0.58057,1,0.7,0.7,50,0
0.58063,1,0.8,0.8,50,0
0.58068,1,0.9,0.9,50,0
0.58073,1,1,1,50,0
0.58087,1,1.1,1.1,50,0
0.581,1,1.2,1.2,50,0
0.58114,1,1.3,1.3,50,0
0.58127,1,1.4,1.4,50,0
0.58141,1,1.5,1.5,50,0
0.58154,1,1.6,1.6,50,0
0.58168,1,1.7,1.7,50,0
0.58181,1,1.8,1.8,50,0
0.58195,1,1.9,1.9,50,0
0.58208,1,2,2,50,0
0.58223,1,2.1,2.1,50,0
0.58238,1,2.2,2.2,50,0
0.58253,1,2.3,2.3,50,0
0.58268,1,2.4,2.4,50,0
0.58283,1,2.5,2.5,50,0
0.58298,1,2.6,2.6,50,0
0.58313,1,2.7,2.7,50,0
0.58328,1,2.8,2.8,50,0
0.58342,1,2.9,2.9,50,0
0.58357,1,3,3,50,0
0.58362,1,3.1,3.1,50,0
0.58367,1,3.2,3.2,50,0
0.58373,1,3.3,3.3,50,0
0.58378,1,3.4,3.4,50,0
0.58383,1,3.5,3.5,50,0
0.58388,1,3.6,3.6,50,0
0.58393,1,3.7,3.7,50,0
0.58398,1,3.8,3.8,50,0
0.58403,1,3.9,3.9,50,0
0.58408,1,4,4,50,0
0.58388,1,4.1,4.1,50,0
0.58368,1,4.2,4.2,50,0
0.58348,1,4.3,4.3,50,0
0.58327,1,4.4,4.4,50,0
0.58307,1,4.5,4.5,50,0
0.58287,1,4.6,4.6,50,0
0.58267,1,4.7,4.7,50,0
0.58247,1,4.8,4.8,50,0
0.58227,1,4.9,4.9,50,0
0.58207,1,5,5,50,0
0.58142,1,5.1,5.1,50,0
0.58078,1,5.2,5.2,50,0
0.58014,1,5.3,5.3,50,0
0.57949,1,5.4,5.4,50,0
0.57885,1,5.5,5.5,50,0
0.57821,1,5.6,5.6,50,0
0.57756,1,5.7,5.7,50,0
0.57692,1,5.8,5.8,50,0
0.57628,1,5.9,5.9,50,0
0.57563,1,6,6,50,0
0.57435,1,6.1,6.1,50,0
0.57307,1,6.2,6.2,50,0
0.57179,1,6.3,6.3,50,0
0.57051,1,6.4,6.4,50,0
0.56923,1,6.5,6.5,50,0
0.56795,1,6.6,6.6,50,0
0.56667,1,6.7,6.7,50,0
0.56539,1,6.8,6.8,50,0
0.56411,1,6.9,6.9,50,0
0.56283,1,7,7,50,0
0.56079,1,7.1,7.1,50,0
0.55874,1,7.2,7.2,50,0
0.5567,1,7.3,7.3,50,0
0.55466,1,7.4,7.4,50,0
0.55262,1,7.5,7.5,50,0
0.55058,1,7.6,7.6,50,0
0.54854,1,7.7,7.7,50,0
0.5465,1,7.8,7.8,50,0
0.54446,1,7.9,7.9,50,0
0.54242,1,8,8,50,0
0.5397,1,8.1,8.1,50,0
0.53697,1,8.2,8.2,50,0
0.53425,1,8.3,8.3,50,0
0.53152,1,8.4,8.4,50,0
0.5288,1,8.5,8.5,50,0
0.52607,1,8.6,8.6,50,0
0.52334,1,8.7,8.7,50,0
0.52062,1,8.8,8.8,50,0
0.51789,1,8.9,8.9,50,0
0.51517,1,9,9,50,0
0.51211,1,9.1,9.1,50,0
0.50905,1,9.2,9.2,50,0
0.50599,1,9.3,9.3,50,0
0.50294,1,9.4,9.4,50,0
0.49988,1,9.5,9.5,50,0
0.49682,1,9.6,9.6,50,0
0.49376,1,9.7,9.7,50,0
0.4907,1,9.8,9.8,50,0
0.48765,1,9.9,9.9,50,0
0.48459,1,10,10,50,0
0.48173,1,10.1,10.1,50,0
0.47886,1,10.2,10.2,50,0
0.476,1,10.3,10.3,50,0
0.47314,1,10.4,10.4,50,0
0.47027,1,10.5,10.5,50,0
0.46741,1,10.6,10.6,50,0
0.46455,1,10.7,10.7,50,0
0.46168,1,10.8,10.8,50,0
0.45882,1,10.9,10.9,50,0
0.45596,1,11,11,50,0
0.45375,1,11.1,11.1,50,0
0.45154,1,11.2,11.2,50,0
0.44933,1,11.3,11.3,50,0
0.44712,1,11.4,11.4,50,0
0.44491,1,11.5,11.5,50,0
0.4427,1,11.6,11.6,50,0
0.4405,1,11.7,11.7,50,0
0.43829,1,11.8,11.8,50,0
0.43608,1,11.9,11.9,50,0
0.43387,1,12,12,50,0
0.43254,1,12.1,12.1,50,0
0.43121,1,12.2,12.2,50,0
0.42988,1,12.3,12.3,50,0
0.42855,1,12.4,12.4,50,0
0.42723,1,12.5,12.5,50,0
0.4259,1,12.6,12.6,50,0
0.42457,1,12.7,12.7,50,0
0.42324,1,12.8,12.8,50,0
0.42191,1,12.9,12.9,50,0
0.42058,1,13,13,50,0
0.42016,1,13.1,13.1,50,0
0.41974,1,13.2,13.2,50,0
0.41932,1,13.3,13.3,50,0
0.4189,1,13.4,13.4,50,0
0.41848,1,13.5,13.5,50,0
0.41806,1,13.6,13.6,50,0
0.41764,1,13.7,13.7,50,0
0.41722,1,13.8,13.8,50,0
0.4168,1,13.9,13.9,50,0
0.41638,1,14,14,50,0
0.41681,1,14.1,14.1,50,0
0.41725,1,14.2,14.2,50,0
0.41769,1,14.3,14.3,50,0
0.41813,1,14.4,14.4,50,0
0.41857,1,14.5,14.5,50,0
0.41901,1,14.6,14.6,50,0
0.41945,1,14.7,14.7,50,0
0.41989,1,14.8,14.8,50,0
0.42033,1,14.9,14.9,50,0
0.42077,1,15,15,50,0
0.42202,1,15.1,15.1,50,0
0.42327,1,15.2,15.2,50,0
0.42452,1,15.3,15.3,50,0
0.42577,1,15.4,15.4,50,0
0.42703,1,15.5,15.5,50,0
0.42828,1,15.6,15.6,50,0
0.42953,1,15.7,15.7,50,0
0.43078,1,15.8,15.8,50,0
0.43203,1,15.9,15.9,50,0
0.43328,1,16,16,50,0
0.43528,1,16.1,16.1,50,0
0.43728,1,16.2,16.2,50,0
0.43928,1,16.3,16.3,50,0
0.44127,1,16.4,16.4,50,0
0.44327,1,16.5,16.5,50,0
0.44527,1,16.6,16.6,50,0
0.44727,1,16.7,16.7,50,0
0.44927,1,16.8,16.8,50,0
0.45126,1,16.9,16.9,50,0
0.45326,1,17,17,50,0
0.45584,1,17.1,17.1,50,0
0.45843,1,17.2,17.2,50,0
0.46101,1,17.3,17.3,50,0
0.4636,1,17.4,17.4,50,0
0.46618,1,17.5,17.5,50,0
0.46876,1,17.6,17.6,50,0
0.47135,1,17.7,17.7,50,0
0.47393,1,17.8,17.8,50,0
0.47652,1,17.9,17.9,50,0
0.4791,1,18,18,50,0
0.48195,1,18.1,18.1,50,0
0.48481,1,18.2,18.2,50,0
0.48766,1,18.3,18.3,50,0
0.49052,1,18.4,18.4,50,0
0.49337,1,18.5,18.5,50,0
0.49622,1,18.6,18.6,50,0
0.49908,1,18.7,18.7,50,0
0.50193,1,18.8,18.8,50,0
0.50479,1,18.9,18.9,50,0
0.50764,1,19,19,50,0
0.51034,1,19.1,19.1,50,0
0.51305,1,19.2,19.2,50,0
0.51575,1,19.3,19.3,50,0
0.51846,1,19.4,19.4,50,0
0.52116,1,19.5,19.5,50,0
0.52387,1,19.6,19.6,50,0
0.52657,1,19.7,19.7,50,0
0.52927,1,19.8,19.8,50,0
0.53198,1,19.9,19.9,50,0
0.53468,1,20,20,50,0
0.53687,1,20.1,20.1,50,0
0.53906,1,20.2,20.2,50,0
0.54124,1,20.3,20.3,50,0
0.54343,1,20.4,20.4,50,0
0.54562,1,20.5,20.5,50,0
0.5478,1,20.6,20.6,50,0
0.54999,1,20.7,20.7,50,0
0.55218,1,20.8,20.8,50,0
0.55436,1,20.9,20.9,50,0
0.55655,1,21,21,50,0
0.55804,1,21.1,21.1,50,0
0.55953,1,21.2,21.2,50,0
0.56101,1,21.3,21.3,50,0
0.5625,1,21.4,21.4,50,0
0.56399,1,21.5,21.5,50,0
0.56548,1,21.6,21.6,50,0
0.56697,1,21.7,21.7,50,0
0.56846,1,21.8,21.8,50,0
0.56995,1,21.9,21.9,50,0
0.57143,1,22,22,50,0
0.57225,1,22.1,22.1,50,0
0.57306,1,22.2,22.2,50,0
0.57387,1,22.3,22.3,50,0
0.57468,1,22.4,22.4,50,0
0.5755,1,22.5,22.5,50,0
0.57631,1,22.6,22.6,50,0
0.57712,1,22.7,22.7,50,0
0.57793,1,22.8,22.8,50,0
0.57874,1,22.9,22.9,50,0
0.57956,1,23,23,50,0
0.57984,1,23.1,23.1,50,0
0.58013,1,23.2,23.2,50,0
0.58042,1,23.3,23.3,50,0
0.5807,1,23.4,23.4,50,0
0.58099,1,23.5,23.5,50,0
0.58127,1,23.6,23.6,50,0
0.58156,1,23.7,23.7,50,0
0.58185,1,23.8,23.8,50,0
0.58213,1,23.9,23.9,50,0
0.58242,1,24,24,50,0
0.58238,1,24.1,24.1,50,0
0.58234,1,24.2,24.2,50,0
0.58231,1,24.3,24.3,50,0
0.58227,1,24.4,24.4,50,0
0.58223,1,24.5,24.5,50,0
0.58219,1,24.6,24.6,50,0
0.58215,1,24.7,24.7,50,0
0.58212,1,24.8,24.8,50,0
0.58208,1,24.9,24.9,50,0
0.58204,1,25,25,50,0
0.58188,1,25.1,25.1,50,0
0.58171,1,25.2,25.2,50,0
0.58155,1,25.3,25.3,50,0
0.58138,1,25.4,25.4,50,0
0.58122,1,25.5,25.5,50,0
0.58106,1,25.6,25.6,50,0
0.58089,1,25.7,25.7,50,0
0.58073,1,25.8,25.8,50,0
0.58057,1,25.9,25.9,50,0
0.5804,1,26,26,50,0
0.58028,1,26.1,26.1,50,0
0.58016,1,26.2,26.2,50,0
0.58004,1,26.3,26.3,50,0
0.57993,1,26.4,26.4,50,0
0.57981,1,26.5,26.5,50,0
0.57969,1,26.6,26.6,50,0
0.57957,1,26.7,26.7,50,0
0.57945,1,26.8,26.8,50,0
0.57933,1,26.9,26.9,50,0
0.57921,1,27,27,50,0
0.57925,1,27.1,27.1,50,0
0.5793,1,27.2,27.2,50,0
0.57934,1,27.3,27.3,50,0
0.57938,1,27.4,27.4,50,0
0.57943,1,27.5,27.5,50,0
0.57947,1,27.6,27.6,50,0
0.57952,1,27.7,27.7,50,0
0.57956,1,27.8,27.8,50,0
0.5796,1,27.9,27.9,50,0
0.57965,1,28,28,50,0
0.57991,1,28.1,28.1,50,0
0.58018,1,28.2,28.2,50,0
0.58044,1,28.3,28.3,50,0
0.5807,1,28.4,28.4,50,0
0.58097,1,28.5,28.5,50,0
0.58123,1,28.6,28.6,50,0
0.58149,1,28.7,28.7,50,0
0.58176,1,28.8,28.8,50,0
0.58202,1,28.9,28.9,50,0
0.58228,1,29,29,50,0
0.58275,1,29.1,29.1,50,0
0.58322,1,29.2,29.2,50,0
0.58369,1,29.3,29.3,50,0
0.58416,1,29.4,29.4,50,0
0.58463,1,29.5,29.5,50,0
0.5851,1,29.6,29.6,50,0
0.58557,1,29.7,29.7,50,0
0.58604,1,29.8,29.8,50,0
0.58651,1,29.9,29.9,50,0
0.58698,1,30,30,50,0
0.58758,1,30.1,30.1,50,0
0.58819,1,30.2,30.2,50,0
0.58879,1,30.3,30.3,50,0
0.58939,1,30.4,30.4,50,0
0.58999,1,30.5,30.5,50,0
0.59059,1,30.6,30.6,50,0
0.59119,1,30.7,30.7,50,0
0.5918,1,30.8,30.8,50,0
0.5924,1,30.9,30.9,50,0
0.593,1,31,31,50,0
0.59361,1,31.1,31.1,50,0
0.59422,1,31.2,31.2,50,0
0.59483,1,31.3,31.3,50,0
0.59544,1,31.4,31.4,50,0
0.59605,1,31.5,31.5,50,0
0.59666,1,31.6,31.6,50,0
0.59727,1,31.7,31.7,50,0
0.59788,1,31.8,31.8,50,0
0.59849,1,31.9,31.9,50,0
0.5991,1,32,32,50,0
