"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.6747,1,0,0,50,0
0.67471,1,0.1,0.1,50,0
0.67472,1,0.2,0.2,50,0
0.67474,1,0.3,0.3,50,0
0.67475,1,0.4,0.4,50,0
0.67476,1,0.5,0.5,50,0
0.67477,1,0.6,0.6,50,0
0.67478,1,0.7,0.7,50,0
0.67479,1,0.8,0.8,50,0
0.6748,1,0.9,0.9,50,0
0.67481,1,1,1,50,0
0.67481,1,1.1,1.1,50,0
0.67482,1,1.2,1.2,50,0
0.67483,1,1.3,1.3,50,0
0.67483,1,1.4,1.4,50,0
0.67484,1,1.5,1.5,50,0
0.67485,1,1.6,1.6,50,0
0.67485,1,1.7,1.7,50,0
0.67486,1,1.8,1.8,50,0
0.67486,1,1.9,1.9,50,0
0.67487,1,2,2,50,0
0.67479,1,2.1,2.1,50,0
0.67471,1,2.2,2.2,50,0
0.67463,1,2.3,2.3,50,0
0.67455,1,2.4,2.4,50,0
0.67447,1,2.5,2.5,50,0
0.67439,1,2.6,2.6,50,0
0.67431,1,2.7,2.7,50,0
0.67423,1,2.8,2.8,50,0
0.67414,1,2.9,2.9,50,0
0.67406,1,3,3,50,0
0.67373,1,3.1,3.1,50,0
0.6734,1,3.2,3.2,50,0
0.67307,1,3.3,3.3,50,0
0.67274,1,3.4,3.4,50,0
0.67241,1,3.5,3.5,50,0
0.67208,1,3.6,3.6,50,0
0.67175,1,3.7,3.7,50,0
0.67141,1,3.8,3.8,50,0
0.67108,1,3.9,3.9,50,0
0.67075,1,4,4,50,0
0.66988,1,4.1,4.1,50,0
0.66901,1,4.2,4.2,50,0
0.66813,1,4.3,4.3,50,0
0.66726,1,4.4,4.4,50,0
0.66639,1,4.5,4.5,50,0
0.66552,1,4.6,4.6,50,0
0.66464,1,4.7,4.7,50,0
0.66377,1,4.8,4.8,50,0
0.6629,1,4.9,4.9,50,0
0.66203,1,5,5,50,0
0.66015,1,5.1,5.1,50,0
0.65828,1,5.2,5.2,50,0
0.6564,1,5.3,5.3,50,0
0.65453,1,5.4,5.4,50,0
0.65265,1,5.5,5.5,50,0
0.65078,1,5.6,5.6,50,0
0.6489,1,5.7,5.7,50,0
0.64703,1,5.8,5.8,50,0
0.64515,1,5.9,5.9,50,0
0.64328,1,6,6,50,0
0.63985,1,6.1,6.1,50,0
0.63641,1,6.2,6.2,50,0
0.63298,1,6.3,6.3,50,0
0.62955,1,6.4,6.4,50,0
0.62612,1,6.5,6.5,50,0
0.62269,1,6.6,6.6,50,0
0.61926,1,6.7,6.7,50,0
0.61583,1,6.8,6.8,50,0
0.6124,1,6.9,6.9,50,0
0.60897,1,7,7,50,0
0.60373,1,7.1,7.1,50,0
0.5985,1,7.2,7.2,50,0
0.59326,1,7.3,7.3,50,0
0.58803,1,7.4,7.4,50,0
0.58279,1,7.5,7.5,50,0
0.57756,1,7.6,7.6,50,0
0.57233,1,7.7,7.7,50,0
0.56709,1,7.8,7.8,50,0
0.56186,1,7.9,7.9,50,0
0.55662,1,8,8,50,0
0.55024,1,8.1,8.1,50,0
0.54385,1,8.2,8.2,50,0
0.53747,1,8.3,8.3,50,0
