"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.67824,1,0,0,50,0
0.67824,1,0.1,0.1,50,0
0.67825,1,0.2,0.2,50,0
0.67825,1,0.3,0.3,50,0
0.67826,1,0.4,0.4,50,0
0.67826,1,0.5,0.5,50,0
0.67827,1,0.6,0.6,50,0
0.67828,1,0.7,0.7,50,0
0.67828,1,0.8,0.8,50,0
0.67829,1,0.9,0.9,50,0
0.67829,1,1,1,50,0
0.67829,1,1.1,1.1,50,0
0.6783,1,1.2,1.2,50,0
0.6783,1,1.3,1.3,50,0
0.6783,1,1.4,1.4,50,0
0.6783,1,1.5,1.5,50,0
0.6783,1,1.6,1.6,50,0
0.6783,1,1.7,1.7,50,0
0.6783,1,1.8,1.8,50,0
0.67831,1,1.9,1.9,50,0
0.67831,1,2,2,50,0
0.67825,1,2.1,2.1,50,0
0.6782,1,2.2,2.2,50,0
0.67815,1,2.3,2.3,50,0
0.6781,1,2.4,2.4,50,0
0.67805,1,2.5,2.5,50,0
0.67799,1,2.6,2.6,50,0
0.67794,1,2.7,2.7,50,0
0.67789,1,2.8,2.8,50,0
0.67784,1,2.9,2.9,50,0
0.67778,1,3,3,50,0
0.67758,1,3.1,3.1,50,0
0.67738,1,3.2,3.2,50,0
0.67718,1,3.3,3.3,50,0
0.67698,1,3.4,3.4,50,0
0.67678,1,3.5,3.5,50,0
0.67658,1,3.6,3.6,50,0
0.67638,1,3.7,3.7,50,0
0.67618,1,3.8,3.8,50,0
0.67598,1,3.9,3.9,50,0
0.67578,1,4,4,50,0
0.67528,1,4.1,4.1,50,0
0.67478,1,4.2,4.2,50,0
0.67428,1,4.3,4.3,50,0
0.67377,1,4.4,4.4,50,0
0.67327,1,4.5,4.5,50,0
0.67277,1,4.6,4.6,50,0
0.67226,1,4.7,4.7,50,0
0.67176,1,4.8,4.8,50,0
0.67126,1,4.9,4.9,50,0
0.67076,1,5,5,50,0
0.66971,1,5.1,5.1,50,0
0.66867,1,5.2,5.2,50,0
0.66763,1,5.3,5.3,50,0
0.66658,1,5.4,5.4,50,0
0.66554,1,5.5,5.5,50,0
0.6645,1,5.6,5.6,50,0
0.66346,1,5.7,5.7,50,0
0.66241,1,5.8,5.8,50,0
0.66137,1,5.9,5.9,50,0
0.66033,1,6,6,50,0
0.65844,1,6.1,6.1,50,0
0.65655,1,6.2,6.2,50,0
0.65466,1,6.3,6.3,50,0
0.65278,1,6.4,6.4,50,0
0.65089,1,6.5,6.5,50,0
0.649,1,6.6,6.6,50,0
0.64711,1,6.7,6.7,50,0
0.64523,1,6.8,6.8,50,0
0.64334,1,6.9,6.9,50,0
0.64145,1,7,7,50,0
0.63845,1,7.1,7.1,50,0
0.63546,1,7.2,7.2,50,0
0.63246,1,7.3,7.3,50,0
0.62946,1,7.4,7.4,50,0
0.62646,1,7.5,7.5,50,0
0.62346,1,7.6,7.6,50,0
0.62047,1,7.7,7.7,50,0
