"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.62962,1,0,0,50,0
0.62976,1,0.1,0.1,50,0
0.6299,1,0.2,0.2,50,0
0.63004,1,0.3,0.3,50,0
0.63018,1,0.4,0.4,50,0
0.63033,1,0.5,0.5,50,0
0.63047,1,0.6,0.6,50,0
0.63061,1,0.7,0.7,50,0
0.63075,1,0.8,0.8,50,0
0.63089,1,0.9,0.9,50,0
0.63103,1,1,1,50,0
0.63144,1,1.1,1.1,50,0
0.63185,1,1.2,1.2,50,0
0.63225,1,1.3,1.3,50,0
0.63266,1,1.4,1.4,50,0
0.63307,1,1.5,1.5,50,0
0.63347,1,1.6,1.6,50,0
0.63388,1,1.7,1.7,50,0
0.63429,1,1.8,1.8,50,0
0.63469,1,1.9,1.9,50,0
0.6351,1,2,2,50,0
0.63571,1,2.1,2.1,50,0
0.63633,1,2.2,2.2,50,0
0.63695,1,2.3,2.3,50,0
0.63756,1,2.4,2.4,50,0
0.63818,1,2.5,2.5,50,0
0.63879,1,2.6,2.6,50,0
0.63941,1,2.7,2.7,50,0
0.64003,1,2.8,2.8,50,0
0.64064,1,2.9,2.9,50,0
0.64126,1,3,3,50,0
0.642,1,3.1,3.1,50,0
0.64275,1,3.2,3.2,50,0
0.64349,1,3.3,3.3,50,0
0.64423,1,3.4,3.4,50,0
0.64498,1,3.5,3.5,50,0
0.64572,1,3.6,3.6,50,0
0.64647,1,3.7,3.7,50,0
0.64721,1,3.8,3.8,50,0
0.64796,1,3.9,3.9,50,0
0.6487,1,4,4,50,0
0.64948,1,4.1,4.1,50,0
0.65026,1,4.2,4.2,50,0
0.65104,1,4.3,4.3,50,0
0.65182,1,4.4,4.4,50,0
0.6526,1,4.5,4.5,50,0
0.65338,1,4.6,4.6,50,0
0.65416,1,4.7,4.7,50,0
0.65495,1,4.8,4.8,50,0
0.65573,1,4.9,4.9,50,0
0.65651,1,5,5,50,0
0.65724,1,5.1,5.1,50,0
0.65797,1,5.2,5.2,50,0
0.6587,1,5.3,5.3,50,0
0.65943,1,5.4,5.4,50,0
0.66016,1,5.5,5.5,50,0
0.6609,1,5.6,5.6,50,0
0.66163,1,5.7,5.7,50,0
0.66236,1,5.8,5.8,50,0
0.66309,1,5.9,5.9,50,0
0.66382,1,6,6,50,0
0.66444,1,6.1,6.1,50,0
0.66506,1,6.2,6.2,50,0
0.66567,1,6.3,6.3,50,0
0.66629,1,6.4,6.4,50,0
0.66691,1,6.5,6.5,50,0
0.66752,1,6.6,6.6,50,0
0.66814,1,6.7,6.7,50,0
0.66876,1,6.8,6.8,50,0
0.66937,1,6.9,6.9,50,0
0.66999,1,7,7,50,0
0.67046,1,7.1,7.1,50,0
0.67092,1,7.2,7.2,50,0
0.67138,1,7.3,7.3,50,0
0.67185,1,7.4,7.4,50,0
0.67231,1,7.5,7.5,50,0
0.67278,1,7.6,7.6,50,0
0.67324,1,7.7,7.7,50,0
0.6737,1,7.8,7.8,50,0
0.67417,1,7.9,7.9,50,0
0.67463,1,8,8,50,0
0.67493,1,8.1,8.1,50,0
0.67523,1,8.2,8.2,50,0
0.67552,1,8.3,8.3,50,0
0.67582,1,8.4,8.4,50,0
0.67612,1,8.5,8.5,50,0
0.67641,1,8.6,8.6,50,0
0.67671,1,8.7,8.7,50,0
0.67701,1,8.8,8.8,50,0
0.67731,1,8.9,8.9,50,0
0.6776,1,9,9,50,0
0.67774,1,9.1,9.1,50,0
0.67787,1,9.2,9.2,50,0
0.678,1,9.3,9.3,50,0
0.67813,1,9.4,9.4,50,0
0.67827,1,9.5,9.5,50,0
0.6784,1,9.6,9.6,50,0
0.67853,1,9.7,9.7,50,0
0.67867,1,9.8,9.8,50,0
0.6788,1,9.9,9.9,50,0
0.67893,1,10,10,50,0
0.67891,1,10.1,10.1,50,0
0.6789,1,10.2,10.2,50,0
0.67888,1,10.3,10.3,50,0
0.67886,1,10.4,10.4,50,0
0.67885,1,10.5,10.5,50,0
0.67883,1,10.6,10.6,50,0
0.67881,1,10.7,10.7,50,0
0.67879,1,10.8,10.8,50,0
0.67878,1,10.9,10.9,50,0
0.67876,1,11,11,50,0
0.67861,1,11.1,11.1,50,0
0.67847,1,11.2,11.2,50,0
0.67832,1,11.3,11.3,50,0
0.67818,1,11.4,11.4,50,0
0.67803,1,11.5,11.5,50,0
0.67788,1,11.6,11.6,50,0
0.67774,1,11.7,11.7,50,0
0.67759,1,11.8,11.8,50,0
0.67745,1,11.9,11.9,50,0
0.6773,1,12,12,50,0
0.67705,1,12.1,12.1,50,0
0.67681,1,12.2,12.2,50,0
0.67656,1,12.3,12.3,50,0
0.67632,1,12.4,12.4,50,0
0.67607,1,12.5,12.5,50,0
0.67583,1,12.6,12.6,50,0
0.67558,1,12.7,12.7,50,0
0.67533,1,12.8,12.8,50,0
0.67509,1,12.9,12.9,50,0
0.67484,1,13,13,50,0
0.67454,1,13.1,13.1,50,0
0.67423,1,13.2,13.2,50,0
0.67393,1,13.3,13.3,50,0
0.67362,1,13.4,13.4,50,0
0.67331,1,13.5,13.5,50,0
0.67301,1,13.6,13.6,50,0
0.6727,1,13.7,13.7,50,0
0.67239,1,13.8,13.8,50,0
0.67209,1,13.9,13.9,50,0
0.67178,1,14,14,50,0
0.67146,1,14.1,14.1,50,0
0.67115,1,14.2,14.2,50,0
0.67083,1,14.3,14.3,50,0
0.67051,1,14.4,14.4,50,0
0.67019,1,14.5,14.5,50,0
0.66988,1,14.6,14.6,50,0
0.66956,1,14.7,14.7,50,0
0.66924,1,14.8,14.8,50,0
0.66892,1,14.9,14.9,50,0
0.6686,1,15,15,50,0
0.66833,1,15.1,15.1,50,0
0.66805,1,15.2,15.2,50,0
0.66778,1,15.3,15.3,50,0
0.6675,1,15.4,15.4,50,0
0.66723,1,15.5,15.5,50,0
0.66695,1,15.6,15.6,50,0
0.66668,1,15.7,15.7,50,0
0.6664,1,15.8,15.8,50,0
0.66612,1,15.9,15.9,50,0
0.66585,1,16,16,50,0
0.66567,1,16.1,16.1,50,0
0.66548,1,16.2,16.2,50,0
0.6653,1,16.3,16.3,50,0
0.66512,1,16.4,16.4,50,0
0.66493,1,16.5,16.5,50,0
0.66475,1,16.6,16.6,50,0
0.66457,1,16.7,16.7,50,0
0.66438,1,16.8,16.8,50,0
0.6642,1,16.9,16.9,50,0
0.66402,1,17,17,50,0
0.66396,1,17.1,17.1,50,0
0.6639,1,17.2,17.2,50,0
0.66384,1,17.3,17.3,50,0
0.66379,1,17.4,17.4,50,0
