"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.58054,1,0,0,50,0
0.58059,1,0.1,0.1,50,0
0.58064,1,0.2,0.2,50,0
0.5807,1,0.3,0.3,50,0
0.58075,1,0.4,0.4,50,0
0.5808,1,0.5,0.5,50,0
0.58085,1,0.6,0.6,50,0
0.5809,1,0.7,0.7,50,0
0.58096,1,0.8,0.8,50,0
0.58101,1,0.9,0.9,50,0
0.58106,1,1,1,50,0
0.58119,1,1.1,1.1,50,0
0.58133,1,1.2,1.2,50,0
0.58146,1,1.3,1.3,50,0
0.5816,1,1.4,1.4,50,0
0.58173,1,1.5,1.5,50,0
0.58186,1,1.6,1.6,50,0
0.582,1,1.7,1.7,50,0
0.58213,1,1.8,1.8,50,0
0.58226,1,1.9,1.9,50,0
0.5824,1,2,2,50,0
0.58254,1,2.1,2.1,50,0
0.58269,1,2.2,2.2,50,0
0.58284,1,2.3,2.3,50,0
0.58298,1,2.4,2.4,50,0
0.58313,1,2.5,2.5,50,0
0.58328,1,2.6,2.6,50,0
0.58342,1,2.7,2.7,50,0
0.58357,1,2.8,2.8,50,0
0.58372,1,2.9,2.9,50,0
0.58387,1,3,3,50,0
0.58391,1,3.1,3.1,50,0
0.58396,1,3.2,3.2,50,0
0.58401,1,3.3,3.3,50,0
0.58406,1,3.4,3.4,50,0
0.58411,1,3.5,3.5,50,0
0.58416,1,3.6,3.6,50,0
0.5842,1,3.7,3.7,50,0
0.58425,1,3.8,3.8,50,0
0.5843,1,3.9,3.9,50,0
0.58435,1,4,4,50,0
0.58415,1,4.1,4.1,50,0
0.58394,1,4.2,4.2,50,0
0.58374,1,4.3,4.3,50,0
0.58353,1,4.4,4.4,50,0
0.58333,1,4.5,4.5,50,0
0.58313,1,4.6,4.6,50,0
0.58292,1,4.7,4.7,50,0
0.58272,1,4.8,4.8,50,0
0.58252,1,4.9,4.9,50,0
0.58231,1,5,5,50,0
0.58167,1,5.1,5.1,50,0
0.58102,1,5.2,5.2,50,0
0.58038,1,5.3,5.3,50,0
0.57973,1,5.4,5.4,50,0
0.57909,1,5.5,5.5,50,0
0.57845,1,5.6,5.6,50,0
0.5778,1,5.7,5.7,50,0
0.57716,1,5.8,5.8,50,0
0.57651,1,5.9,5.9,50,0
0.57587,1,6,6,50,0
0.57459,1,6.1,6.1,50,0
0.57331,1,6.2,6.2,50,0
0.57203,1,6.3,6.3,50,0
0.57075,1,6.4,6.4,50,0
0.56947,1,6.5,6.5,50,0
0.56819,1,6.6,6.6,50,0
0.56691,1,6.7,6.7,50,0
0.56563,1,6.8,6.8,50,0
0.56435,1,6.9,6.9,50,0
0.56307,1,7,7,50,0
0.56103,1,7.1,7.1,50,0
0.55899,1,7.2,7.2,50,0
0.55695,1,7.3,7.3,50,0
0.55491,1,7.4,7.4,50,0
0.55287,1,7.5,7.5,50,0
0.55083,1,7.6,7.6,50,0
0.54879,1,7.7,7.7,50,0
0.54675,1,7.8,7.8,50,0
0.54471,1,7.9,7.9,50,0
0.54267,1,8,8,50,0
0.53995,1,8.1,8.1,50,0
0.53723,1,8.2,8.2,50,0
0.5345,1,8.3,8.3,50,0
0.53178,1,8.4,8.4,50,0
0.52905,1,8.5,8.5,50,0
0.52633,1,8.6,8.6,50,0
0.5236,1,8.7,8.7,50,0
0.52088,1,8.8,8.8,50,0
0.51815,1,8.9,8.9,50,0
0.51543,1,9,9,50,0
0.51237,1,9.1,9.1,50,0
0.50931,1,9.2,9.2,50,0
0.50625,1,9.3,9.3,50,0
0.50319,1,9.4,9.4,50,0
0.50013,1,9.5,9.5,50,0
0.49707,1,9.6,9.6,50,0
0.49401,1,9.7,9.7,50,0
0.49095,1,9.8,9.8,50,0
0.48789,1,9.9,9.9,50,0
0.48483,1,10,10,50,0
0.48197,1,10.1,10.1,50,0
0.4791,1,10.2,10.2,50,0
0.47623,1,10.3,10.3,50,0
0.47336,1,10.4,10.4,50,0
0.47049,1,10.5,10.5,50,0
0.46763,1,10.6,10.6,50,0
0.46476,1,10.7,10.7,50,0
0.46189,1,10.8,10.8,50,0
0.45902,1,10.9,10.9,50,0
0.45616,1,11,11,50,0
0.45394,1,11.1,11.1,50,0
0.45172,1,11.2,11.2,50,0
0.44951,1,11.3,11.3,50,0
0.44729,1,11.4,11.4,50,0
0.44508,1,11.5,11.5,50,0
