"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.65033,1,0,0,50,0
0.65045,1,0.1,0.1,50,0
0.65057,1,0.2,0.2,50,0
0.65069,1,0.3,0.3,50,0
0.65081,1,0.4,0.4,50,0
0.65093,1,0.5,0.5,50,0
0.65105,1,0.6,0.6,50,0
0.65118,1,0.7,0.7,50,0
0.6513,1,0.8,0.8,50,0
0.65142,1,0.9,0.9,50,0
0.65154,1,1,1,50,0
0.65186,1,1.1,1.1,50,0
0.65218,1,1.2,1.2,50,0
0.6525,1,1.3,1.3,50,0
0.65282,1,1.4,1.4,50,0
0.65314,1,1.5,1.5,50,0
0.65347,1,1.6,1.6,50,0
0.65379,1,1.7,1.7,50,0
0.65411,1,1.8,1.8,50,0
0.65443,1,1.9,1.9,50,0
0.65475,1,2,2,50,0
0.65515,1,2.1,2.1,50,0
0.65556,1,2.2,2.2,50,0
0.65596,1,2.3,2.3,50,0
0.65636,1,2.4,2.4,50,0
0.65676,1,2.5,2.5,50,0
0.65717,1,2.6,2.6,50,0
0.65757,1,2.7,2.7,50,0
0.65797,1,2.8,2.8,50,0
0.65837,1,2.9,2.9,50,0
0.65878,1,3,3,50,0
0.65907,1,3.1,3.1,50,0
0.65937,1,3.2,3.2,50,0
0.65966,1,3.3,3.3,50,0
0.65995,1,3.4,3.4,50,0
0.66025,1,3.5,3.5,50,0
0.66054,1,3.6,3.6,50,0
0.66084,1,3.7,3.7,50,0
0.66113,1,3.8,3.8,50,0
0.66143,1,3.9,3.9,50,0
0.66172,1,4,4,50,0
0.66163,1,4.1,4.1,50,0
0.66154,1,4.2,4.2,50,0
0.66145,1,4.3,4.3,50,0
0.66136,1,4.4,4.4,50,0
0.66127,1,4.5,4.5,50,0
0.66118,1,4.6,4.6,50,0
0.66109,1,4.7,4.7,50,0
0.661,1,4.8,4.8,50,0
0.66091,1,4.9,4.9,50,0
0.66082,1,5,5,50,0
0.65992,1,5.1,5.1,50,0
0.65902,1,5.2,5.2,50,0
0.65812,1,5.3,5.3,50,0
0.65723,1,5.4,5.4,50,0
0.65633,1,5.5,5.5,50,0
0.65543,1,5.6,5.6,50,0
0.65453,1,5.7,5.7,50,0
0.65364,1,5.8,5.8,50,0
0.65274,1,5.9,5.9,50,0
0.65184,1,6,6,50,0
0.64951,1,6.1,6.1,50,0
0.64718,1,6.2,6.2,50,0
0.64485,1,6.3,6.3,50,0
0.64252,1,6.4,6.4,50,0
0.64019,1,6.5,6.5,50,0
0.63786,1,6.6,6.6,50,0
0.63553,1,6.7,6.7,50,0
0.6332,1,6.8,6.8,50,0
0.63087,1,6.9,6.9,50,0
0.62854,1,7,7,50,0
0.62412,1,7.1,7.1,50,0
0.6197,1,7.2,7.2,50,0
0.61529,1,7.3,7.3,50,0
0.61087,1,7.4,7.4,50,0
0.60645,1,7.5,7.5,50,0
0.60204,1,7.6,7.6,50,0
0.59762,1,7.7,7.7,50,0
0.5932,1,7.8,7.8,50,0
0.58879,1,7.9,7.9,50,0
0.58437,1,8,8,50,0
0.57789,1,8.1,8.1,50,0
0.57141,1,8.2,8.2,50,0
0.56493,1,8.3,8.3,50,0
0.55845,1,8.4,8.4,50,0
0.55196,1,8.5,8.5,50,0
0.54548,1,8.6,8.6,50,0
0.539,1,8.7,8.7,50,0
0.53252,1,8.8,8.8,50,0
0.52604,1,8.9,8.9,50,0
0.51956,1,9,9,50,0
0.51239,1,9.1,9.1,50,0
0.50522,1,9.2,9.2,50,0
0.49806,1,9.3,9.3,50,0
0.49089,1,9.4,9.4,50,0
0.48372,1,9.5,9.5,50,0
0.47655,1,9.6,9.6,50,0
0.46939,1,9.7,9.7,50,0
0.46222,1,9.8,9.8,50,0
0.45505,1,9.9,9.9,50,0
0.44789,1,10,10,50,0
0.44193,1,10.1,10.1,50,0
0.43597,1,10.2,10.2,50,0
0.43002,1,10.3,10.3,50,0
0.42406,1,10.4,10.4,50,0
0.41811,1,10.5,10.5,50,0
0.41215,1,10.6,10.6,50,0
0.4062,1,10.7,10.7,50,0
0.40024,1,10.8,10.8,50,0
0.39428,1,10.9,10.9,50,0
0.38833,1,11,11,50,0
0.38441,1,11.1,11.1,50,0
0.38049,1,11.2,11.2,50,0
0.37657,1,11.3,11.3,50,0
0.37265,1,11.4,11.4,50,0
0.36873,1,11.5,11.5,50,0
0.36481,1,11.6,11.6,50,0
0.36089,1,11.7,11.7,50,0
0.35697,1,11.8,11.8,50,0
0.35304,1,11.9,11.9,50,0
0.34912,1,12,12,50,0
0.34691,1,12.1,12.1,50,0
0.34469,1,12.2,12.2,50,0
0.34247,1,12.3,12.3,50,0
0.34025,1,12.4,12.4,50,0
0.33804,1,12.5,12.5,50,0
0.33582,1,12.6,12.6,50,0
0.3336,1,12.7,12.7,50,0
0.33138,1,12.8,12.8,50,0
0.32917,1,12.9,12.9,50,0
