"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.67748,1,0,0,50,0
0.67749,1,0.1,0.1,50,0
0.67749,1,0.2,0.2,50,0
0.6775,1,0.3,0.3,50,0
0.6775,1,0.4,0.4,50,0
0.67751,1,0.5,0.5,50,0
0.67751,1,0.6,0.6,50,0
0.67752,1,0.7,0.7,50,0
0.67753,1,0.8,0.8,50,0
0.67753,1,0.9,0.9,50,0
0.67754,1,1,1,50,0
0.67754,1,1.1,1.1,50,0
0.67754,1,1.2,1.2,50,0
0.67754,1,1.3,1.3,50,0
0.67754,1,1.4,1.4,50,0
0.67754,1,1.5,1.5,50,0
0.67754,1,1.6,1.6,50,0
0.67754,1,1.7,1.7,50,0
0.67754,1,1.8,1.8,50,0
0.67754,1,1.9,1.9,50,0
0.67754,1,2,2,50,0
0.67749,1,2.1,2.1,50,0
0.67743,1,2.2,2.2,50,0
0.67737,1,2.3,2.3,50,0
0.67731,1,2.4,2.4,50,0
0.67725,1,2.5,2.5,50,0
0.6772,1,2.6,2.6,50,0
0.67714,1,2.7,2.7,50,0
0.67708,1,2.8,2.8,50,0
0.67702,1,2.9,2.9,50,0
0.67697,1,3,3,50,0
0.67675,1,3.1,3.1,50,0
0.67653,1,3.2,3.2,50,0
0.67632,1,3.3,3.3,50,0
0.6761,1,3.4,3.4,50,0
0.67588,1,3.5,3.5,50,0
0.67567,1,3.6,3.6,50,0
0.67545,1,3.7,3.7,50,0
0.67523,1,3.8,3.8,50,0
0.67501,1,3.9,3.9,50,0
0.6748,1,4,4,50,0
0.67425,1,4.1,4.1,50,0
0.67371,1,4.2,4.2,50,0
0.67317,1,4.3,4.3,50,0
0.67262,1,4.4,4.4,50,0
0.67208,1,4.5,4.5,50,0
0.67154,1,4.6,4.6,50,0
0.67099,1,4.7,4.7,50,0
0.67045,1,4.8,4.8,50,0
0.6699,1,4.9,4.9,50,0
0.66936,1,5,5,50,0
0.66824,1,5.1,5.1,50,0
0.66712,1,5.2,5.2,50,0
0.66599,1,5.3,5.3,50,0
0.66487,1,5.4,5.4,50,0
0.66375,1,5.5,5.5,50,0
0.66262,1,5.6,5.6,50,0
0.6615,1,5.7,5.7,50,0
0.66038,1,5.8,5.8,50,0
0.65925,1,5.9,5.9,50,0
0.65813,1,6,6,50,0
0.65611,1,6.1,6.1,50,0
0.65409,1,6.2,6.2,50,0
0.65207,1,6.3,6.3,50,0
0.65005,1,6.4,6.4,50,0
0.64803,1,6.5,6.5,50,0
0.64601,1,6.6,6.6,50,0
0.64399,1,6.7,6.7,50,0
0.64197,1,6.8,6.8,50,0
0.63995,1,6.9,6.9,50,0
0.63794,1,7,7,50,0
0.63477,1,7.1,7.1,50,0
0.6316,1,7.2,7.2,50,0
0.62843,1,7.3,7.3,50,0
0.62526,1,7.4,7.4,50,0
0.62209,1,7.5,7.5,50,0
0.61892,1,7.6,7.6,50,0
0.61575,1,7.7,7.7,50,0
0.61258,1,7.8,7.8,50,0
0.60941,1,7.9,7.9,50,0
0.60624,1,8,8,50,0
