"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.63156,1,0,0,50,0
0.6317,1,0.1,0.1,50,0
0.63185,1,0.2,0.2,50,0
0.63199,1,0.3,0.3,50,0
0.63213,1,0.4,0.4,50,0
0.63227,1,0.5,0.5,50,0
0.63241,1,0.6,0.6,50,0
0.63255,1,0.7,0.7,50,0
0.6327,1,0.8,0.8,50,0
0.63284,1,0.9,0.9,50,0
0.63298,1,1,1,50,0
0.63339,1,1.1,1.1,50,0
0.63379,1,1.2,1.2,50,0
0.6342,1,1.3,1.3,50,0
0.6346,1,1.4,1.4,50,0
0.63501,1,1.5,1.5,50,0
0.63541,1,1.6,1.6,50,0
0.63581,1,1.7,1.7,50,0
0.63622,1,1.8,1.8,50,0
0.63662,1,1.9,1.9,50,0
0.63703,1,2,2,50,0
0.63764,1,2.1,2.1,50,0
0.63825,1,2.2,2.2,50,0
0.63886,1,2.3,2.3,50,0
0.63948,1,2.4,2.4,50,0
0.64009,1,2.5,2.5,50,0
0.6407,1,2.6,2.6,50,0
0.64131,1,2.7,2.7,50,0
0.64192,1,2.8,2.8,50,0
0.64253,1,2.9,2.9,50,0
0.64315,1,3,3,50,0
0.64388,1,3.1,3.1,50,0
0.64461,1,3.2,3.2,50,0
0.64535,1,3.3,3.3,50,0
0.64608,1,3.4,3.4,50,0
0.64682,1,3.5,3.5,50,0
0.64755,1,3.6,3.6,50,0
0.64829,1,3.7,3.7,50,0
0.64902,1,3.8,3.8,50,0
0.64976,1,3.9,3.9,50,0
0.65049,1,4,4,50,0
0.65126,1,4.1,4.1,50,0
0.65202,1,4.2,4.2,50,0
0.65279,1,4.3,4.3,50,0
0.65355,1,4.4,4.4,50,0
0.65432,1,4.5,4.5,50,0
0.65509,1,4.6,4.6,50,0
0.65585,1,4.7,4.7,50,0
0.65662,1,4.8,4.8,50,0
0.65738,1,4.9,4.9,50,0
0.65815,1,5,5,50,0
0.65886,1,5.1,5.1,50,0
0.65957,1,5.2,5.2,50,0
0.66028,1,5.3,5.3,50,0
0.66099,1,5.4,5.4,50,0
0.6617,1,5.5,5.5,50,0
0.66241,1,5.6,5.6,50,0
0.66312,1,5.7,5.7,50,0
0.66383,1,5.8,5.8,50,0
0.66454,1,5.9,5.9,50,0
0.66525,1,6,6,50,0
0.66584,1,6.1,6.1,50,0
0.66644,1,6.2,6.2,50,0
0.66703,1,6.3,6.3,50,0
0.66762,1,6.4,6.4,50,0
0.66822,1,6.5,6.5,50,0
0.66881,1,6.6,6.6,50,0
0.6694,1,6.7,6.7,50,0
0.67,1,6.8,6.8,50,0
0.67059,1,6.9,6.9,50,0
0.67118,1,7,7,50,0
0.67162,1,7.1,7.1,50,0
0.67206,1,7.2,7.2,50,0
0.6725,1,7.3,7.3,50,0
0.67294,1,7.4,7.4,50,0
0.67339,1,7.5,7.5,50,0
0.67383,1,7.6,7.6,50,0
0.67427,1,7.7,7.7,50,0
0.67471,1,7.8,7.8,50,0
0.67515,1,7.9,7.9,50,0
0.67559,1,8,8,50,0
0.67587,1,8.1,8.1,50,0
0.67614,1,8.2,8.2,50,0
0.67642,1,8.3,8.3,50,0
0.6767,1,8.4,8.4,50,0
0.67697,1,8.5,8.5,50,0
0.67725,1,8.6,8.6,50,0
0.67753,1,8.7,8.7,50,0
0.6778,1,8.8,8.8,50,0
0.67808,1,8.9,8.9,50,0
0.67836,1,9,9,50,0
0.67847,1,9.1,9.1,50,0
0.67859,1,9.2,9.2,50,0
0.67871,1,9.3,9.3,50,0
0.67882,1,9.4,9.4,50,0
0.67894,1,9.5,9.5,50,0
0.67906,1,9.6,9.6,50,0
0.67918,1,9.7,9.7,50,0
0.67929,1,9.8,9.8,50,0
0.67941,1,9.9,9.9,50,0
0.67953,1,10,10,50,0
0.6795,1,10.1,10.1,50,0
0.67947,1,10.2,10.2,50,0
0.67944,1,10.3,10.3,50,0
0.67941,1,10.4,10.4,50,0
0.67938,1,10.5,10.5,50,0
0.67935,1,10.6,10.6,50,0
0.67932,1,10.7,10.7,50,0
0.67929,1,10.8,10.8,50,0
0.67926,1,10.9,10.9,50,0
0.67923,1,11,11,50,0
0.67907,1,11.1,11.1,50,0
0.67891,1,11.2,11.2,50,0
0.67875,1,11.3,11.3,50,0
0.6786,1,11.4,11.4,50,0
0.67844,1,11.5,11.5,50,0
0.67828,1,11.6,11.6,50,0
0.67812,1,11.7,11.7,50,0
0.67796,1,11.8,11.8,50,0
0.67781,1,11.9,11.9,50,0
0.67765,1,12,12,50,0
0.67739,1,12.1,12.1,50,0
0.67713,1,12.2,12.2,50,0
0.67686,1,12.3,12.3,50,0
0.6766,1,12.4,12.4,50,0
0.67634,1,12.5,12.5,50,0
0.67608,1,12.6,12.6,50,0
0.67582,1,12.7,12.7,50,0
0.67556,1,12.8,12.8,50,0
0.6753,1,12.9,12.9,50,0
0.67504,1,13,13,50,0
0.67471,1,13.1,13.1,50,0
0.67438,1,13.2,13.2,50,0
0.67405,1,13.3,13.3,50,0
0.67373,1,13.4,13.4,50,0
0.6734,1,13.5,13.5,50,0
0.67307,1,13.6,13.6,50,0
0.67274,1,13.7,13.7,50,0
0.67241,1,13.8,13.8,50,0
0.67209,1,13.9,13.9,50,0
0.67176,1,14,14,50,0
0.67141,1,14.1,14.1,50,0
0.67106,1,14.2,14.2,50,0
0.67072,1,14.3,14.3,50,0
0.67037,1,14.4,14.4,50,0
0.67002,1,14.5,14.5,50,0
0.66967,1,14.6,14.6,50,0
0.66932,1,14.7,14.7,50,0
0.66898,1,14.8,14.8,50,0
0.66863,1,14.9,14.9,50,0
0.66828,1,15,15,50,0
0.66797,1,15.1,15.1,50,0
0.66766,1,15.2,15.2,50,0
0.66734,1,15.3,15.3,50,0
0.66703,1,15.4,15.4,50,0
0.66672,1,15.5,15.5,50,0
0.66641,1,15.6,15.6,50,0
0.66609,1,15.7,15.7,50,0
0.66578,1,15.8,15.8,50,0
