time,Total_free_energy
0,0
1e-05,81.112126402843
2.8e-05,81.112058129548
6.04e-05,81.111938805279
0.00011872,81.1117350308
0.000223696,81.111398415118
0.0004126528,81.110865544996
0.00075277504,81.110057611185
0.001364995072,81.108870020621
0.0024669911296,81.107148509823
0.00445058403328,81.10461909481
0.008021051259904,81.100692510691
0.014447892267827,81.094185850038
0.026016206082089,81.082961806667
0.04683917094776,81.0631803164
0.084320507705968,81.02776179423
0.15178691387074,80.963355432339
0.27322644496734,80.843892421204
0.49181760094121,80.615233642266
0.88528168169417,80.152321397957
1.5935170270495,79.110073698113
2.8683406486891,76.251056720059
5,67.844395547107
6.2748236216396,61.624359813162
8.5695061405909,52.874534045592
10,49.940663622858
12.294682518951,47.530632862558
16.425111053064,45.937023105005
20,45.178628290023
24.130428534112,44.506263897432
29.130428534112,43.832523444229
34.130428534112,43.177850272766
39.130428534112,42.621790173805
44.130428534112,42.2209147033
49.130428534112,41.912855802757
50,41.796402439665
55,41.636796345849
60,41.459558011335
65,41.324393901999
70,41.221710050859
75,41.144608200098
80,41.088000758244
85,41.048015926198
90,41.021645769856
95,41.006524192741
100,41.000782587885
105,41.002953664135
110,41.011906414825
115,41.026805533175
120,41.04709573671
125,41.072520800887
130,41.103208097302
135,41.139913116889
140,41.18478898026
145,41.243929977062
150,41.301549050448
155,41.415983607176
160,41.476770822757
165,41.504148179996
170,41.51883899252
175,41.529914605112
180,41.540818304681
185,41.552544275855
190,41.565169048295
195,41.578534550665
200,41.592486634106
205,41.606921530632
210,41.621774376453
215,41.637002076538
220,41.65257287019
225,41.668461729673
230,41.684648732035
235,41.701118534128
240,41.717860139395
245,41.734866721445
250,41.752135489402
255,41.769667630088
260,41.787468354893
265,41.805547065189
270,41.823917645087
275,41.842598895546
280,41.861615135901
285,41.880997015862
290,41.900782602987
295,41.921018841374
300,41.941763522714
305,41.963087981416
310,41.985080838845
315,42.007853311096
320,42.031546925467
325,42.056345097597
330,42.082491197946
335,42.110318173227
340,42.14030026903
345,42.17315112902
350,42.210032368084
355,42.253079612304
360,42.307179147524
365,42.373074061575
370,42.423000078604
375,42.505404752783
380,42.549712502852
385,42.566183788031
390,42.569771678629
395,42.568769817913
400,42.566720962065
