"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.67443,1,0,0,50,0
0.67443,1,0.1,0.1,50,0
0.67444,1,0.2,0.2,50,0
0.67445,1,0.3,0.3,50,0
0.67446,1,0.4,0.4,50,0
0.67447,1,0.5,0.5,50,0
0.67447,1,0.6,0.6,50,0
0.67448,1,0.7,0.7,50,0
0.67449,1,0.8,0.8,50,0
0.6745,1,0.9,0.9,50,0
0.67451,1,1,1,50,0
0.6745,1,1.1,1.1,50,0
0.6745,1,1.2,1.2,50,0
0.6745,1,1.3,1.3,50,0
0.6745,1,1.4,1.4,50,0
0.6745,1,1.5,1.5,50,0
0.6745,1,1.6,1.6,50,0
0.67449,1,1.7,1.7,50,0
0.67449,1,1.8,1.8,50,0
0.67449,1,1.9,1.9,50,0
0.67449,1,2,2,50,0
0.67439,1,2.1,2.1,50,0
0.67429,1,2.2,2.2,50,0
0.67419,1,2.3,2.3,50,0
0.67409,1,2.4,2.4,50,0
0.674,1,2.5,2.5,50,0
0.6739,1,2.6,2.6,50,0
0.6738,1,2.7,2.7,50,0
0.6737,1,2.8,2.8,50,0
0.6736,1,2.9,2.9,50,0
0.67351,1,3,3,50,0
0.67314,1,3.1,3.1,50,0
0.67277,1,3.2,3.2,50,0
0.6724,1,3.3,3.3,50,0
0.67203,1,3.4,3.4,50,0
0.67166,1,3.5,3.5,50,0
0.6713,1,3.6,3.6,50,0
0.67093,1,3.7,3.7,50,0
0.67056,1,3.8,3.8,50,0
0.67019,1,3.9,3.9,50,0
0.66982,1,4,4,50,0
0.66887,1,4.1,4.1,50,0
0.66793,1,4.2,4.2,50,0
0.66698,1,4.3,4.3,50,0
0.66603,1,4.4,4.4,50,0
0.66508,1,4.5,4.5,50,0
0.66413,1,4.6,4.6,50,0
0.66318,1,4.7,4.7,50,0
0.66223,1,4.8,4.8,50,0
0.66128,1,4.9,4.9,50,0
0.66034,1,5,5,50,0
0.65832,1,5.1,5.1,50,0
0.6563,1,5.2,5.2,50,0
0.65429,1,5.3,5.3,50,0
0.65227,1,5.4,5.4,50,0
0.65025,1,5.5,5.5,50,0
0.64824,1,5.6,5.6,50,0
0.64622,1,5.7,5.7,50,0
0.64421,1,5.8,5.8,50,0
0.64219,1,5.9,5.9,50,0
0.64017,1,6,6,50,0
0.63653,1,6.1,6.1,50,0
0.63289,1,6.2,6.2,50,0
0.62924,1,6.3,6.3,50,0
0.6256,1,6.4,6.4,50,0
0.62195,1,6.5,6.5,50,0
0.61831,1,6.6,6.6,50,0
0.61466,1,6.7,6.7,50,0
0.61102,1,6.8,6.8,50,0
0.60738,1,6.9,6.9,50,0
0.60373,1,7,7,50,0
0.59828,1,7.1,7.1,50,0
0.59282,1,7.2,7.2,50,0
0.58737,1,7.3,7.3,50,0
0.58192,1,7.4,7.4,50,0
0.57646,1,7.5,7.5,50,0
0.57101,1,7.6,7.6,50,0
0.56555,1,7.7,7.7,50,0
0.5601,1,7.8,7.8,50,0
0.55465,1,7.9,7.9,50,0
0.54919,1,8,8,50,0
0.54272,1,8.1,8.1,50,0
0.53625,1,8.2,8.2,50,0
0.52977,1,8.3,8.3,50,0
0.5233,1,8.4,8.4,50,0
0.51683,1,8.5,8.5,50,0
0.51036,1,8.6,8.6,50,0
0.50388,1,8.7,8.7,50,0
0.49741,1,8.8,8.8,50,0
0.49094,1,8.9,8.9,50,0
0.48446,1,9,9,50,0
0.47849,1,9.1,9.1,50,0
0.47251,1,9.2,9.2,50,0
0.46654,1,9.3,9.3,50,0
0.46056,1,9.4,9.4,50,0
0.45458,1,9.5,9.5,50,0
0.44861,1,9.6,9.6,50,0
0.44263,1,9.7,9.7,50,0
0.43665,1,9.8,9.8,50,0
0.43068,1,9.9,9.9,50,0
0.4247,1,10,10,50,0
0.42029,1,10.1,10.1,50,0
0.41588,1,10.2,10.2,50,0
0.41146,1,10.3,10.3,50,0
0.40705,1,10.4,10.4,50,0
0.40264,1,10.5,10.5,50,0
0.39823,1,10.6,10.6,50,0
0.39381,1,10.7,10.7,50,0
0.3894,1,10.8,10.8,50,0
0.38499,1,10.9,10.9,50,0
0.38057,1,11,11,50,0
0.37781,1,11.1,11.1,50,0
0.37505,1,11.2,11.2,50,0
0.37229,1,11.3,11.3,50,0
0.36953,1,11.4,11.4,50,0
0.36677,1,11.5,11.5,50,0
0.36401,1,11.6,11.6,50,0
0.36125,1,11.7,11.7,50,0
0.35849,1,11.8,11.8,50,0
0.35573,1,11.9,11.9,50,0
0.35297,1,12,12,50,0
0.35145,1,12.1,12.1,50,0
0.34992,1,12.2,12.2,50,0
0.3484,1,12.3,12.3,50,0
0.34688,1,12.4,12.4,50,0
0.34535,1,12.5,12.5,50,0
0.34383,1,12.6,12.6,50,0
0.34231,1,12.7,12.7,50,0
0.34078,1,12.8,12.8,50,0
0.33926,1,12.9,12.9,50,0
0.33774,1,13,13,50,0
0.33704,1,13.1,13.1,50,0
0.33634,1,13.2,13.2,50,0
0.33565,1,13.3,13.3,50,0
0.33495,1,13.4,13.4,50,0
0.33425,1,13.5,13.5,50,0
0.33356,1,13.6,13.6,50,0
