"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.62405,1,0,0,50,0
0.62424,1,0.1,0.1,50,0
0.62443,1,0.2,0.2,50,0
0.62462,1,0.3,0.3,50,0
0.62481,1,0.4,0.4,50,0
0.625,1,0.5,0.5,50,0
0.62519,1,0.6,0.6,50,0
0.62538,1,0.7,0.7,50,0
0.62557,1,0.8,0.8,50,0
0.62576,1,0.9,0.9,50,0
0.62595,1,1,1,50,0
0.62646,1,1.1,1.1,50,0
0.62697,1,1.2,1.2,50,0
0.62749,1,1.3,1.3,50,0
0.628,1,1.4,1.4,50,0
0.62851,1,1.5,1.5,50,0
0.62902,1,1.6,1.6,50,0
0.62953,1,1.7,1.7,50,0
0.63004,1,1.8,1.8,50,0
0.63055,1,1.9,1.9,50,0
0.63106,1,2,2,50,0
0.63173,1,2.1,2.1,50,0
0.6324,1,2.2,2.2,50,0
0.63307,1,2.3,2.3,50,0
0.63373,1,2.4,2.4,50,0
0.6344,1,2.5,2.5,50,0
0.63507,1,2.6,2.6,50,0
0.63574,1,2.7,2.7,50,0
0.6364,1,2.8,2.8,50,0
0.63707,1,2.9,2.9,50,0
0.63774,1,3,3,50,0
0.63833,1,3.1,3.1,50,0
0.63891,1,3.2,3.2,50,0
0.6395,1,3.3,3.3,50,0
0.64009,1,3.4,3.4,50,0
0.64067,1,3.5,3.5,50,0
0.64126,1,3.6,3.6,50,0
0.64185,1,3.7,3.7,50,0
0.64243,1,3.8,3.8,50,0
0.64302,1,3.9,3.9,50,0
0.6436,1,4,4,50,0
0.64381,1,4.1,4.1,50,0
0.64402,1,4.2,4.2,50,0
0.64423,1,4.3,4.3,50,0
0.64443,1,4.4,4.4,50,0
0.64464,1,4.5,4.5,50,0
0.64485,1,4.6,4.6,50,0
0.64505,1,4.7,4.7,50,0
0.64526,1,4.8,4.8,50,0
0.64547,1,4.9,4.9,50,0
0.64568,1,5,5,50,0
0.64511,1,5.1,5.1,50,0
0.64454,1,5.2,5.2,50,0
0.64398,1,5.3,5.3,50,0
0.64341,1,5.4,5.4,50,0
0.64285,1,5.5,5.5,50,0
0.64228,1,5.6,5.6,50,0
0.64171,1,5.7,5.7,50,0
0.64115,1,5.8,5.8,50,0
0.64058,1,5.9,5.9,50,0
0.64002,1,6,6,50,0
0.63814,1,6.1,6.1,50,0
0.63625,1,6.2,6.2,50,0
0.63437,1,6.3,6.3,50,0
0.63249,1,6.4,6.4,50,0
0.63061,1,6.5,6.5,50,0
0.62873,1,6.6,6.6,50,0
0.62685,1,6.7,6.7,50,0
0.62497,1,6.8,6.8,50,0
0.62309,1,6.9,6.9,50,0
0.62121,1,7,7,50,0
0.61743,1,7.1,7.1,50,0
0.61366,1,7.2,7.2,50,0
0.60988,1,7.3,7.3,50,0
0.6061,1,7.4,7.4,50,0
0.60233,1,7.5,7.5,50,0
0.59855,1,7.6,7.6,50,0
0.59478,1,7.7,7.7,50,0
0.591,1,7.8,7.8,50,0
0.58722,1,7.9,7.9,50,0
0.58345,1,8,8,50,0
0.5777,1,8.1,8.1,50,0
0.57195,1,8.2,8.2,50,0
0.56621,1,8.3,8.3,50,0
0.56046,1,8.4,8.4,50,0
0.55471,1,8.5,8.5,50,0
0.54896,1,8.6,8.6,50,0
0.54322,1,8.7,8.7,50,0
0.53747,1,8.8,8.8,50,0
0.53172,1,8.9,8.9,50,0
0.52597,1,9,9,50,0
0.51933,1,9.1,9.1,50,0
0.51269,1,9.2,9.2,50,0
0.50605,1,9.3,9.3,50,0
0.49941,1,9.4,9.4,50,0
0.49277,1,9.5,9.5,50,0
0.48613,1,9.6,9.6,50,0
0.47948,1,9.7,9.7,50,0
0.47284,1,9.8,9.8,50,0
0.4662,1,9.9,9.9,50,0
0.45956,1,10,10,50,0
0.45377,1,10.1,10.1,50,0
0.44798,1,10.2,10.2,50,0
0.44219,1,10.3,10.3,50,0
0.43639,1,10.4,10.4,50,0
0.4306,1,10.5,10.5,50,0
0.42481,1,10.6,10.6,50,0
0.41902,1,10.7,10.7,50,0
0.41323,1,10.8,10.8,50,0
0.40743,1,10.9,10.9,50,0
0.40164,1,11,11,50,0
0.39769,1,11.1,11.1,50,0
0.39374,1,11.2,11.2,50,0
0.38978,1,11.3,11.3,50,0
0.38583,1,11.4,11.4,50,0
0.38188,1,11.5,11.5,50,0
0.37793,1,11.6,11.6,50,0
0.37397,1,11.7,11.7,50,0
0.37002,1,11.8,11.8,50,0
0.36607,1,11.9,11.9,50,0
0.36211,1,12,12,50,0
0.35988,1,12.1,12.1,50,0
0.35764,1,12.2,12.2,50,0
0.3554,1,12.3,12.3,50,0
0.35316,1,12.4,12.4,50,0
0.35092,1,12.5,12.5,50,0
0.34868,1,12.6,12.6,50,0
0.34644,1,12.7,12.7,50,0
0.3442,1,12.8,12.8,50,0
0.34197,1,12.9,12.9,50,0
0.33973,1,13,13,50,0
0.33866,1,13.1,13.1,50,0
0.33759,1,13.2,13.2,50,0
0.33652,1,13.3,13.3,50,0
0.33545,1,13.4,13.4,50,0
0.33439,1,13.5,13.5,50,0
0.33332,1,13.6,13.6,50,0
0.33225,1,13.7,13.7,50,0
0.33118,1,13.8,13.8,50,0
0.33011,1,13.9,13.9,50,0
0.32905,1,14,14,50,0
0.32872,1,14.1,14.1,50,0
0.32839,1,14.2,14.2,50,0
0.32806,1,14.3,14.3,50,0
0.32774,1,14.4,14.4,50,0
0.32741,1,14.5,14.5,50,0
0.32708,1,14.6,14.6,50,0
0.32675,1,14.7,14.7,50,0
0.32643,1,14.8,14.8,50,0
0.3261,1,14.9,14.9,50,0
0.32577,1,15,15,50,0
0.326,1,15.1,15.1,50,0
0.32622,1,15.2,15.2,50,0
0.32645,1,15.3,15.3,50,0
0.32668,1,15.4,15.4,50,0
0.3269,1,15.5,15.5,50,0
0.32713,1,15.6,15.6,50,0
0.32736,1,15.7,15.7,50,0
0.32759,1,15.8,15.8,50,0
0.32781,1,15.9,15.9,50,0
0.32804,1,16,16,50,0
0.32887,1,16.1,16.1,50,0
0.32969,1,16.2,16.2,50,0
0.33052,1,16.3,16.3,50,0
0.33135,1,16.4,16.4,50,0
0.33218,1,16.5,16.5,50,0
0.333,1,16.6,16.6,50,0
0.33383,1,16.7,16.7,50,0
0.33466,1,16.8,16.8,50,0
0.33549,1,16.9,16.9,50,0
0.33632,1,17,17,50,0
0.33802,1,17.1,17.1,50,0
0.33972,1,17.2,17.2,50,0
0.34142,1,17.3,17.3,50,0
0.34312,1,17.4,17.4,50,0
0.34482,1,17.5,17.5,50,0
0.34652,1,17.6,17.6,50,0
0.34822,1,17.7,17.7,50,0
0.34992,1,17.8,17.8,50,0
0.35162,1,17.9,17.9,50,0
0.35332,1,18,18,50,0
0.35634,1,18.1,18.1,50,0
