"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.65052,1,0,0,50,0
0.65064,1,0.1,0.1,50,0
0.65076,1,0.2,0.2,50,0
0.65089,1,0.3,0.3,50,0
0.65101,1,0.4,0.4,50,0
0.65114,1,0.5,0.5,50,0
0.65126,1,0.6,0.6,50,0
0.65138,1,0.7,0.7,50,0
0.65151,1,0.8,0.8,50,0
0.65163,1,0.9,0.9,50,0
0.65175,1,1,1,50,0
0.65208,1,1.1,1.1,50,0
0.65241,1,1.2,1.2,50,0
0.65274,1,1.3,1.3,50,0
0.65307,1,1.4,1.4,50,0
0.65339,1,1.5,1.5,50,0
0.65372,1,1.6,1.6,50,0
0.65405,1,1.7,1.7,50,0
0.65438,1,1.8,1.8,50,0
0.65471,1,1.9,1.9,50,0
0.65503,1,2,2,50,0
0.65545,1,2.1,2.1,50,0
0.65586,1,2.2,2.2,50,0
0.65627,1,2.3,2.3,50,0
0.65668,1,2.4,2.4,50,0
0.65709,1,2.5,2.5,50,0
0.6575,1,2.6,2.6,50,0
0.65792,1,2.7,2.7,50,0
0.65833,1,2.8,2.8,50,0
0.65874,1,2.9,2.9,50,0
0.65915,1,3,3,50,0
0.65946,1,3.1,3.1,50,0
0.65976,1,3.2,3.2,50,0
0.66007,1,3.3,3.3,50,0
0.66037,1,3.4,3.4,50,0
0.66068,1,3.5,3.5,50,0
0.66098,1,3.6,3.6,50,0
0.66129,1,3.7,3.7,50,0
0.6616,1,3.8,3.8,50,0
0.6619,1,3.9,3.9,50,0
0.66221,1,4,4,50,0
0.66214,1,4.1,4.1,50,0
0.66206,1,4.2,4.2,50,0
0.66199,1,4.3,4.3,50,0
0.66192,1,4.4,4.4,50,0
0.66185,1,4.5,4.5,50,0
0.66177,1,4.6,4.6,50,0
0.6617,1,4.7,4.7,50,0
0.66163,1,4.8,4.8,50,0
0.66156,1,4.9,4.9,50,0
0.66148,1,5,5,50,0
0.66062,1,5.1,5.1,50,0
0.65976,1,5.2,5.2,50,0
0.6589,1,5.3,5.3,50,0
0.65804,1,5.4,5.4,50,0
0.65717,1,5.5,5.5,50,0
0.65631,1,5.6,5.6,50,0
0.65545,1,5.7,5.7,50,0
0.65459,1,5.8,5.8,50,0
0.65373,1,5.9,5.9,50,0
0.65287,1,6,6,50,0
0.6506,1,6.1,6.1,50,0
0.64834,1,6.2,6.2,50,0
0.64607,1,6.3,6.3,50,0
0.64381,1,6.4,6.4,50,0
0.64154,1,6.5,6.5,50,0
0.63928,1,6.6,6.6,50,0
0.63701,1,6.7,6.7,50,0
0.63475,1,6.8,6.8,50,0
0.63248,1,6.9,6.9,50,0
0.63022,1,7,7,50,0
0.62589,1,7.1,7.1,50,0
0.62156,1,7.2,7.2,50,0
0.61723,1,7.3,7.3,50,0
0.6129,1,7.4,7.4,50,0
0.60858,1,7.5,7.5,50,0
0.60425,1,7.6,7.6,50,0
0.59992,1,7.7,7.7,50,0
0.59559,1,7.8,7.8,50,0
0.59126,1,7.9,7.9,50,0
0.58693,1,8,8,50,0
0.58051,1,8.1,8.1,50,0
0.57409,1,8.2,8.2,50,0
0.56766,1,8.3,8.3,50,0
0.56124,1,8.4,8.4,50,0
0.55482,1,8.5,8.5,50,0
0.54839,1,8.6,8.6,50,0
0.54197,1,8.7,8.7,50,0
0.53555,1,8.8,8.8,50,0
0.52913,1,8.9,8.9,50,0
0.5227,1,9,9,50,0
0.51551,1,9.1,9.1,50,0
0.50831,1,9.2,9.2,50,0
0.50111,1,9.3,9.3,50,0
0.49392,1,9.4,9.4,50,0
0.48672,1,9.5,9.5,50,0
0.47952,1,9.6,9.6,50,0
0.47233,1,9.7,9.7,50,0
0.46513,1,9.8,9.8,50,0
0.45793,1,9.9,9.9,50,0
0.45074,1,10,10,50,0
0.44469,1,10.1,10.1,50,0
0.43863,1,10.2,10.2,50,0
0.43258,1,10.3,10.3,50,0
0.42653,1,10.4,10.4,50,0
0.42048,1,10.5,10.5,50,0
0.41443,1,10.6,10.6,50,0
0.40838,1,10.7,10.7,50,0
0.40232,1,10.8,10.8,50,0
0.39627,1,10.9,10.9,50,0
0.39022,1,11,11,50,0
0.38621,1,11.1,11.1,50,0
0.38219,1,11.2,11.2,50,0
0.37818,1,11.3,11.3,50,0
0.37416,1,11.4,11.4,50,0
0.37015,1,11.5,11.5,50,0
0.36613,1,11.6,11.6,50,0
0.36211,1,11.7,11.7,50,0
0.3581,1,11.8,11.8,50,0
0.35408,1,11.9,11.9,50,0
0.35007,1,12,12,50,0
0.34779,1,12.1,12.1,50,0
0.34551,1,12.2,12.2,50,0
0.34323,1,12.3,12.3,50,0
0.34095,1,12.4,12.4,50,0
0.33867,1,12.5,12.5,50,0
0.33639,1,12.6,12.6,50,0
0.33411,1,12.7,12.7,50,0
0.33183,1,12.8,12.8,50,0
0.32956,1,12.9,12.9,50,0
0.32728,1,13,13,50,0
0.3261,1,13.1,13.1,50,0
0.32492,1,13.2,13.2,50,0
0.32374,1,13.3,13.3,50,0
0.32256,1,13.4,13.4,50,0
0.32138,1,13.5,13.5,50,0
0.3202,1,13.6,13.6,50,0
0.31902,1,13.7,13.7,50,0
0.31784,1,13.8,13.8,50,0
0.31666,1,13.9,13.9,50,0
0.31548,1,14,14,50,0
0.31494,1,14.1,14.1,50,0
